"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"1","5080","#P8V98YUL","Vendetta","169","232","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"2","5061","#89UCQR90","feyenoord","156","149","11","#JYPRJVU","NORTH 44","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI"
"3","5057","#C909C88P","钟馗","160","262","13","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"4","5051","#YLGPGV9C","房玄龄","135","208","9","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"5","5048","#282UGQGC2","Koi X","141","268","11","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"6","5041","#8R9JL2QV","Andico","160","150","9","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"7","5036","#82CUU208","Up in smoke Pie","165","153","37","#L82RP8VQ","QW","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"8","5031","#JJRC0CRC","nick.ko69","151","185","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"9","5028","#JYVGVRCC","二桃殺三士","211","296","13","#8Y9VGCL2","木槿花开","f2iJF-gjyx5MRzD5z6pekgdgimXO1IE7CE3tr5DguTk"
"10","5026","#GRRC299Y","Ryuji-2/JSS","177","297","7","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"11","5025","#99Y9UC9P","⋆⚜ ᎯℒᎯᏂᏰᎯᏰi ⚜⋆","139","179","11","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"12","5023","#9VL9U8U9","IX DAABOUL","129","414","18","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"13","5020","#R98PVGYR","不识抬举","162","201","8","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"14","5019","#9PL8UC2C","麗質ོ༜長樂公主ོ༜JC","168","226","11","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"15","5018","#9L09J9Q8","Casanova","147","194","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"16","5018","#UYUUU2Y","Paige","182","180","12","#JYPRJVU","NORTH 44","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI"
"17","5017","#GY0J2UY","MUSTAM 1","169","275","14","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"18","5017","#YCUQGV8Y","EricBin","195","329","10","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"19","5014","#92LY0CQV","YUTO(JPN)","125","193","8","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"20","5013","#2LJG9CPL","李世民","158","258","10","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"21","5013","#8R9C9JCG","shaheen uae","150","171","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"22","5011","#G8RLCGL2","JOSEPH SUCCAR","129","234","6","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"23","5009","#GU22R82G",".::ADMIRAL::.","175","214","9","NULL","NULL","NULL"
"24","5008","#GC0GLC0P","AD.007","142","185","4","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"25","5008","#PR2PQLP2","BubbleGum","134","190","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"26","5007","#2YRJ8G9C","lucky","161","188","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"27","5007","#YUR98CJG","-B:-E:-N-:斌","163","254","15","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"28","5005","#YJJYPG09","EMIRATES.","149","230","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"29","5005","#J0GPLUY2","zoro","161","232","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"30","5004","#9YY20GUU","piepipper","135","225","8","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"31","5004","#2988GJ9YG","Hetsigehans","133","316","2","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"32","5003","#20982U8Y9","adham1977","144","288","9","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"33","5002","#P22PJVRQ","battlebee","161","113","7","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"34","5002","#RYLU8UUY","حگومٓةّDûBãî","136","190","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"35","5001","#2LL8PCQC","HERO","144","102","8","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"36","5000","#PQ0LCLJQ","GRIP YOKO","138","253","10","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"37","4999","#Y2U00GUC","[~Niko_coc~]","141","266","11","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"38","4997","#LRYRPY89","☠ᑌᗩE☠","191","211","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"39","4996","#YCGUL8P0","myah/ellie","145","177","8","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"40","4994","#9880YJ0J","༺ᎷᎥᏦᏒᏌᎻѦ༻","166","144","17","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"42","4992","#CC290LY2","KJ","135","181","6","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"43","4992","#PUL22Y8G","hassan","156","123","9","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"44","4990","#22JQPGJG8","LevinXY","121","158","11","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"46","4988","#RGC8LVGU","palash","195","162","7","#2VR2YY0G","Kings Rock","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y"
"52","4984","#8PGC89CL","dawoud77","168","149","9","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"54","4982","#YCGYGCY0","WiFi x Smasher","143","141","5","#2JGYRJVL","MEGA EMPIRE","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"55","4980","#J2YCYR9V","EriFre","149","230","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"57","4979","#RRPVCYPY","SaMi","141","204","11","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"58","4979","#98PQG90G","=!(l0n3ly)!=","174","147","11","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"59","4978","#LYJ0LPCG","QueenBee","158","167","7","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"60","4978","#Y98GVV9V","段志玄","166","290","8","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"61","4977","#G9RGCY8U","༒༼王✨忠✨嗣༽༒","136","183","5","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"62","4976","#GJVJYCRJ","Jõõ~●○•°☆","152","182","5","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"63","4976","#8GLG8J8V","甜心","166","339","7","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"64","4975","#2299V8JY","愛ROLLERッ","151","171","6","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"65","4974","#9LP8V02L","Mel","152","213","2","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"66","4973","#LQVYV8VJ","almghool","142","149","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"68","4972","#99Q2QULP","M/RT","145","164","7","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"70","4970","#9ULPR80L","李存孝","164","394","6","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"71","4970","#G89GJRYG","love","144","156","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"73","4969","#LGJPY998","༺FC_Fighter༻","139","204","9","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"74","4969","#R2YGLV82","NiCK","149","338","14","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"75","4968","#PGCQRC2V","༺࿅ོALLEXCEED2࿅ོ","146","196","4","#9J99PYRL","CLUB ONLY","Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs"
"78","4966","#UQ0QU2QC","༺✨ᎪᏞᏦhᎾᎾᏒᎥ✨༻","147","251","5","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"80","4966","#LY0PQPQV","Body Dody","149","173","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"82","4964","#VP2Q8LP8","ScorPioN","135","244","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"86","4963","#8VUL8RJY","ENDER ÖZDEMİR..","159","191","6","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"88","4962","#VLJYJGUL","Sarah™","135","343","29","#9J8RLVRC","Team C.R.E.A.M™","SEHItSTaeITfhGSeKade8R4QL0rOgscO8qUF2ho6YuM"
"93","4960","#YLGUQ0Q","中国缘 FeLix.Sun","149","247","7","#CP89GQ9","中国缘","xxgxQ7psaG0LhvfyfX4hH59EAcXx2tlxOAGkWV33WOs"
"95","4959","#8P92RUV2","big small","154","186","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"96","4959","#90CQGPCV","BO3Lia","191","211","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"97","4958","#P9GPPYL2","Admiral","145","184","12","#Y8L8LQ0L","Emirates","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"99","4957","#YCG92V8","jay the rock","158","213","6","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"103","4955","#JQJUYCVL","YAS FALCONS","156","191","6","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"106","4955","#LGUU8LVY","kata-xmen","164","236","11","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"108","4954","#GY989Y0G","爱慕红酒","168","150","7","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"112","4953","#PLV9CCCL","dat micheal","162","144","12","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"113","4953","#RVV88JUU","༺࿅ོ⊱M.REZA⊰࿅ོ༻","171","330","10","#JRRGVJR","PERSIAN GULF","MKDWb2BV1gSGTb5mCcOLEsAbn3pj9kcP1zkQnBzWtT0"
"115","4952","#V298C0JU","DarK aNGeL","136","167","7","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"118","4951","#V9LY299P","WALEED","181","265","6","#YPGC02P9","ParadoX","FoeBKgf5I2Ow7tbVKhmqr9BDn1y0i-jXkQ8rMZaUr7g"
"120","4950","#CCG8PJP2","BabyPowder™","147","178","6","#2VR2YY0G","Kings Rock","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y"
"125","4947","#9GY0UPG2","Bo F6ooM","143","226","6","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"128","4947","#Q8822RJG","ADMIRAL@UAE","132","253","14","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"130","4945","#Q8CUL2J9","BURASHID","145","133","7","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"131","4945","#22RUUGVYL","moonlady","160","174","8","#2LCQ008Q","MegaEmpireAsia","DAt3F4VShTIS5aSa_I7FJ8uBZNw914CUaeoSAvN17Sc"
"136","4943","#2P0R8VJJ","maurizio","145","199","9","#PJV99QJ0","Italian Champs","Ukxtro0nEsz8f70jMvV1wwafhJcPyh_RgasvQiBQ1Rg"
"139","4941","#82G0GJLL","VITO","159","309","12","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"141","4940","#YVGQQ8Y2","#YaoSquad","178","167","0","#JYPRJVU","NORTH 44","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI"
"148","4937","#22JQRGVVP","punclashing","136","291","11","NULL","NULL","NULL"
"157","4934","#QRGU2UCY","STING","145","179","9","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"160","4933","#GV2RYQLG","peeter","145","247","16","#UP0080R","Indo Eternity","xUo2kMu1WXvJWD3UCP4xxKs23-EIfz2TCiXmSnkRUTY"
"165","4931","#RRQR0UQ9","one.piece","138","159","4","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"177","4927","#9V00LLQ8","༺࿅ོALLEXCEED࿅ོ༻","154","174","6","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"198","4920","#92Q2GVLJ","Dus10","160","197","6","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"203","4918","#9CQQLY8L","キャティア","167","221","3","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"205","4918","#LQ2Y22JC","adbobo11","140","252","9","#2VR2YY0G","Kings Rock","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y"
"212","4916","#GPURRPJU","零AKIRA戰","133","264","11","#YULRL82J","JAPAN ALLSTAR！","JCrbAPK5RJTuqOTY9Dp3nWTT6_O2jh5IQ0ultAyoD8M"
"231","4911","#CRRQJUJL","HUNTER","177","129","5","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"241","4907","#YLUUYU8G","gigginocirillo","137","306","5","#R9GC0R","Lo Tsunami","e1VRvDtsd-fA2Stvc4VsJWYAvld9mYGTSkff_260Av4"
